timestamps,TP9,AF7,AF8,TP10,Right AUX
1776092207.860,109.863,-21.484,-17.578,36.133,0.000
1776092207.864,52.246,-36.133,-26.367,9.766,0.000
1776092207.868,-182.617,-36.621,-17.578,-98.633,0.000
1776092207.872,-169.434,-29.297,-12.695,-87.402,0.000
1776092207.876,60.547,-23.926,-19.531,12.207,0.000
1776092207.880,113.281,-19.531,-20.996,38.574,0.000
1776092207.884,-134.277,-18.066,-20.508,-78.125,0.000
1776092207.888,-195.801,-16.113,-26.367,-118.164,0.000
1776092207.892,9.277,-10.742,-23.926,-17.090,0.000
1776092207.896,163.086,-8.301,-10.254,61.523,0.000
1776092207.899,-56.641,-15.625,1.465,-41.016,0.000
1776092207.903,-210.449,-24.902,-5.859,-112.793,0.000
1776092207.907,-77.637,-28.809,-8.789,-46.387,0.000
1776092207.911,126.465,-28.320,-11.230,41.992,0.000
1776092207.915,-3.418,-24.414,-10.254,-18.066,0.000
1776092207.919,-208.496,-30.762,-0.488,-111.328,0.000
1776092207.923,-148.438,-42.480,-5.371,-89.844,0.000
1776092207.927,86.914,-33.203,-18.066,11.719,0.000
1776092207.931,58.594,-34.180,-12.695,1.465,0.000
1776092207.935,-178.223,-42.969,-11.230,-100.586,0.000
1776092207.938,-174.805,-36.133,-11.719,-99.121,0.000
1776092207.942,48.340,-25.879,-10.742,3.418,0.000
1776092207.946,124.512,-19.531,-11.230,50.781,0.000
1776092207.950,-121.582,-27.832,-4.883,-46.875,0.000
1776092207.954,-208.496,-31.738,-8.301,-83.984,0.000
1776092207.958,-24.902,-24.414,-10.254,-7.324,0.000
1776092207.962,141.602,-19.043,-6.348,63.965,0.000
1776092207.966,-46.387,-16.602,-10.742,-30.762,0.000
1776092207.970,-215.332,-22.461,-11.230,-115.234,0.000
1776092207.974,-101.562,-30.273,-7.324,-55.176,0.000
1776092207.978,120.117,-24.902,-19.531,41.016,0.000
1776092207.981,16.113,-26.855,-31.250,-13.184,0.000
1776092207.985,-194.336,-40.039,-34.180,-114.258,0.000
1776092207.989,-142.090,-36.133,-29.785,-95.215,0.000
1776092207.993,92.285,-21.973,-22.461,31.738,0.000
1776092207.997,79.102,-27.832,-26.855,28.320,0.000
1776092208.001,-167.480,-31.250,-19.043,-91.797,0.000
1776092208.005,-185.059,-28.809,-15.137,-101.562,0.000
1776092208.009,25.879,-27.832,-21.484,-10.254,0.000
1776092208.013,125.977,-23.438,-17.578,45.898,0.000
1776092208.017,-111.816,-30.273,-20.996,-64.453,0.000
1776092208.020,-214.355,-34.180,-20.508,-119.629,0.000
1776092208.024,-41.992,-29.297,-19.043,-44.434,0.000
1776092208.028,145.508,-25.391,-25.391,42.480,0.000
1776092208.032,-18.555,-24.414,-21.973,-31.250,0.000
1776092208.036,-186.035,-19.531,-12.695,-117.188,0.000
1776092208.040,-83.008,-20.996,-10.254,-72.266,0.000
1776092208.044,140.137,-21.484,-14.648,41.504,0.000
1776092208.048,54.688,-7.324,-20.508,18.555,0.000
1776092208.052,-174.316,-16.113,-26.367,-97.168,0.000
1776092208.056,-148.438,-34.180,-29.785,-93.750,0.000
1776092208.060,79.590,-30.762,-32.227,13.184,0.000
1776092208.063,96.680,-23.438,-28.320,19.531,0.000
1776092208.067,-158.203,-26.855,-25.391,-93.750,0.000
1776092208.071,-198.730,-34.180,-26.367,-109.375,0.000
1776092208.075,10.742,-26.367,-23.438,-9.766,0.000
1776092208.079,128.906,-20.020,-17.578,55.664,0.000
1776092208.083,-93.750,-34.180,-13.184,-48.828,0.000
1776092208.087,-215.820,-39.062,-16.602,-117.188,0.000
1776092208.091,-67.871,-35.156,-24.902,-57.617,0.000
1776092208.095,125.977,-30.273,-24.414,34.180,0.000
1776092208.099,-23.926,-24.902,-14.160,-20.996,0.000
1776092208.103,-206.543,-22.461,-7.812,-99.609,0.000
1776092208.106,-126.953,-25.391,-19.531,-80.078,0.000
1776092208.110,99.609,-20.996,-20.508,12.695,0.000
1776092208.114,46.387,-20.508,-17.578,-10.742,0.000
1776092208.118,-188.477,-26.367,-29.785,-124.023,0.000
1776092208.122,-173.340,-21.484,-27.832,-115.234,0.000
1776092208.126,70.312,-16.113,-17.090,14.648,0.000
1776092208.130,123.047,-17.090,-10.254,56.641,0.000
1776092208.134,-139.648,-19.043,-18.066,-77.637,0.000
1776092208.138,-208.496,-10.742,-23.438,-124.512,0.000
1776092208.142,-8.301,-10.254,-22.461,-38.086,0.000
1776092208.145,138.184,-19.531,-25.391,35.645,0.000
1776092208.149,-75.195,-12.695,-25.391,-50.781,0.000
1776092208.153,-209.961,-0.977,-26.855,-121.582,0.000
1776092208.157,-63.477,-2.441,-29.297,-57.617,0.000
1776092208.161,152.344,1.465,-28.809,46.387,0.000
1776092208.165,27.344,5.371,-26.855,-17.578,0.000
1776092208.169,-174.316,1.465,-29.297,-107.910,0.000
1776092208.173,-116.699,-9.766,-31.738,-78.613,0.000
1776092208.177,110.840,-13.672,-38.574,29.785,0.000
1776092208.181,68.359,-11.230,-39.062,19.043,0.000
1776092208.185,-171.875,-12.695,-31.738,-88.867,0.000
1776092208.188,-165.039,-14.160,-28.320,-80.566,0.000
1776092208.192,57.617,-20.020,-35.156,23.438,0.000
1776092208.196,124.512,-11.230,-39.551,44.922,0.000
1776092208.200,-119.141,-10.742,-25.879,-62.500,0.000
1776092208.204,-193.848,-14.160,-21.484,-94.238,0.000
1776092208.208,-7.324,-14.160,-26.855,-22.949,0.000
1776092208.212,153.809,-9.766,-29.297,58.105,0.000
1776092208.216,-35.645,-2.930,-28.809,-11.719,0.000
1776092208.220,-187.988,-8.301,-26.855,-88.379,0.000
1776092208.224,-68.359,-13.184,-28.809,-45.898,0.000
1776092208.228,148.438,-5.371,-29.785,58.105,0.000
1776092208.231,42.969,-13.672,-19.531,21.484,0.000
1776092208.235,-170.410,-25.879,-21.484,-77.637,0.000
1776092208.239,-115.234,-18.066,-33.691,-58.594,0.000
1776092208.243,129.395,-6.348,-29.785,51.270,0.000
1776092208.247,114.746,-6.836,-24.902,33.203,0.000
1776092208.251,-131.348,-20.020,-26.855,-74.707,0.000
1776092208.255,-147.949,-21.973,-20.508,-69.336,0.000
1776092208.259,59.570,-9.766,-9.277,32.227,0.000
1776092208.263,149.414,-12.695,-10.254,77.637,0.000
1776092208.267,-87.402,-23.926,-12.695,-46.387,0.000
1776092208.270,-180.664,-20.508,-8.301,-100.098,0.000
1776092208.274,-7.812,-10.254,-18.066,-29.785,0.000
1776092208.278,163.086,-16.602,-25.879,50.781,0.000
1776092208.282,-11.719,-23.438,-21.484,-19.531,0.000
1776092208.286,-191.406,-23.438,-21.484,-103.027,0.000
1776092208.290,-92.285,-28.320,-23.926,-58.594,0.000
1776092208.294,140.137,-28.809,-28.320,48.340,0.000
1776092208.298,55.176,-26.367,-23.926,11.230,0.000
1776092208.302,-166.504,-34.180,-16.113,-98.633,0.000
1776092208.306,-133.301,-35.645,-21.484,-84.961,0.000
1776092208.310,99.121,-28.809,-24.414,26.855,0.000
1776092208.313,108.887,-28.320,-22.949,37.109,0.000
1776092208.317,-141.113,-27.832,-22.461,-72.754,0.000
1776092208.321,-181.641,-35.156,-22.461,-93.262,0.000
1776092208.325,19.043,-39.551,-26.855,-5.859,0.000
1776092208.329,130.859,-35.156,-27.344,43.457,0.000
1776092208.333,-92.773,-36.621,-21.484,-60.059,0.000
1776092208.337,-203.613,-30.273,-18.555,-121.094,0.000
1776092208.341,-46.387,-24.414,-16.113,-50.781,0.000
1776092208.345,135.254,-22.949,-14.648,45.898,0.000
1776092208.349,-26.855,-20.020,-12.207,-13.184,0.000
1776092208.353,-217.285,-26.367,-21.484,-102.051,0.000
1776092208.356,-127.441,-27.832,-32.227,-67.383,0.000
1776092208.360,103.027,-21.973,-39.062,41.016,0.000
1776092208.364,28.809,-24.902,-34.180,10.742,0.000
1776092208.368,-192.383,-28.809,-20.508,-98.633,0.000
1776092208.372,-165.527,-34.668,-13.184,-94.238,0.000
1776092208.376,62.500,-27.344,-18.555,9.277,0.000
1776092208.380,91.309,-20.508,-26.855,25.879,0.000
1776092208.384,-155.762,-29.297,-25.879,-80.078,0.000
1776092208.388,-192.871,-33.203,-12.207,-95.215,0.000
1776092208.392,1.953,-25.879,-15.137,-11.719,0.000
1776092208.395,124.512,-23.926,-25.391,59.082,0.000
1776092208.399,-78.613,-16.602,-12.207,-33.691,0.000
1776092208.403,-210.938,-16.113,-5.371,-108.887,0.000
1776092208.407,-79.102,-21.973,-19.531,-50.781,0.000
1776092208.411,112.793,-20.020,-24.902,33.203,0.000
1776092208.415,-25.879,-25.879,-21.973,-23.438,0.000
1776092208.419,-222.656,-29.297,-26.367,-122.559,0.000
1776092208.423,-155.762,-23.438,-34.668,-103.027,0.000
1776092208.427,72.754,-11.230,-34.668,3.418,0.000
1776092208.431,30.762,-5.371,-30.273,-3.906,0.000
1776092208.435,-192.383,-2.441,-27.344,-100.586,0.000
1776092208.438,-212.402,-8.301,-23.926,-138.184,0.000
1776092208.442,-41.016,-18.555,-37.109,-92.773,0.000
1776092208.446,13.184,-9.766,-41.504,-62.988,0.000
1776092208.450,-230.469,-6.348,-31.250,-174.316,0.000
1776092208.454,-331.055,-13.184,-29.297,-236.816,0.000
1776092208.458,-166.992,-15.625,-31.738,-160.156,0.000
1776092208.462,-20.996,-4.883,-27.832,-84.961,0.000
1776092208.466,-233.887,-1.953,-25.391,-198.242,0.000
1776092208.470,-393.555,-3.906,-34.180,-295.898,0.000
1776092208.474,-275.391,0.000,-32.227,-236.328,0.000
1776092208.477,-63.965,-2.441,-29.297,-139.160,0.000
1776092208.481,-181.152,-3.418,-33.203,-193.359,0.000
1776092208.485,-399.902,-8.301,-40.527,-287.109,0.000
1776092208.489,-357.422,-22.949,-44.434,-274.902,0.000
1776092208.493,-104.980,-18.555,-36.621,-148.926,0.000
1776092208.497,-116.211,-10.742,-35.645,-151.367,0.000
1776092208.501,-367.188,-18.066,-41.992,-279.785,0.000
1776092208.505,-361.328,-20.508,-36.621,-282.227,0.000
1776092208.509,-119.629,-12.695,-32.227,-163.086,0.000
1776092208.513,-25.391,-12.695,-31.738,-109.863,0.000
1776092208.517,-261.230,-20.996,-33.203,-220.703,0.000
1776092208.520,-337.891,-23.926,-36.133,-247.070,0.000
1776092208.524,-151.367,-24.902,-32.227,-149.414,0.000
1776092208.528,19.531,-27.344,-36.621,-67.383,0.000
1776092208.532,-146.973,-35.156,-42.969,-131.836,0.000
1776092208.536,-282.227,-27.344,-40.039,-180.176,0.000
1776092208.540,-158.691,-25.879,-29.785,-123.047,0.000
1776092208.544,73.242,-24.902,-21.973,-17.578,0.000
1776092208.548,-21.973,-30.273,-18.066,-36.621,0.000
1776092208.552,-237.793,-39.551,-19.531,-119.141,0.000
1776092208.556,-181.152,-36.133,-25.879,-101.562,0.000
1776092208.560,62.988,-35.156,-26.855,0.488,0.000
1776092208.563,70.801,-38.086,-18.555,12.207,0.000
1776092208.567,-162.598,-41.016,-22.461,-94.727,0.000
1776092208.571,-180.176,-41.016,-32.227,-102.539,0.000
1776092208.575,37.109,-35.645,-34.180,8.789,0.000
1776092208.579,154.297,-32.227,-28.809,69.824,0.000
1776092208.583,-73.242,-33.691,-17.090,-30.762,0.000
1776092208.587,-181.641,-31.250,-10.254,-77.637,0.000
1776092208.591,-9.766,-38.086,-9.766,-2.441,0.000
1776092208.595,178.711,-41.016,-21.484,85.449,0.000
1776092208.599,10.742,-40.527,-33.203,13.672,0.000
1776092208.602,-172.852,-49.805,-39.062,-72.754,0.000
1776092208.606,-66.406,-42.480,-32.715,-27.832,0.000
1776092208.610,176.270,-32.715,-22.949,89.355,0.000
1776092208.614,88.379,-43.945,-25.879,58.594,0.000
1776092208.618,-145.020,-41.992,-36.133,-61.035,0.000
1776092208.622,-110.840,-39.062,-33.203,-53.711,0.000
1776092208.626,118.652,-44.434,-19.531,65.430,0.000
1776092208.630,142.090,-39.062,-16.602,79.590,0.000
1776092208.634,-107.422,-41.504,-15.625,-39.062,0.000
1776092208.638,-144.043,-42.480,-10.254,-52.734,0.000
1776092208.642,67.383,-37.109,-12.207,41.504,0.000
1776092208.645,183.105,-39.551,-20.996,88.867,0.000
1776092208.649,-37.598,-42.480,-24.414,-10.742,0.000
